Team,Win Probability (%),Elo Rating,Tactical Synergy
Argentina,26.34,2171.24,0.0308
Spain,25.09,2181.6,0.0
France,8.26,2112.94,0.0154
Brazil,7.2,2066.01,0.0123
Germany,5.49,2055.36,0.0431
England,3.87,2067.75,0.0092
Colombia,3.58,2049.73,0.1231
Portugal,3.43,2061.1,0.0062
Mexico,2.77,1976.07,0.1662
Netherlands,2.01,2031.08,0.0062
Japan,1.7,2019.59,0.0123
Morocco,1.65,2005.25,0.0123
Belgium,1.58,1999.87,0.0062
Croatia,0.83,1973.59,0.1
Switzerland,0.81,1957.89,0.1
Ecuador,0.78,1965.47,0.0308
United States,0.74,1924.03,0.1
Norway,0.67,1975.0,0.1
Austria,0.59,1943.76,0.1
Algeria,0.39,1908.4,0.0523
Uruguay,0.36,1939.0,0.0031
Australia,0.32,1910.98,0.1
Iran,0.29,1903.68,0.1
Ivory Coast,0.26,1863.18,0.1415
South Korea,0.25,1898.99,0.0892
Canada,0.19,1902.27,0.0062
Senegal,0.17,1889.28,0.0062
Paraguay,0.14,1842.07,0.0431
Scotland,0.14,1851.64,0.1
Sweden,0.04,1832.57,0.0615
Panama,0.03,1781.35,0.0031
Czech Republic,0.02,1830.96,0.1
Egypt,0.01,1802.1,0.1077
